 date ;CumConfirmed;CumDeaths;NewConfirmed;NewDeaths
25/02/2020;0;0;0;0
26/02/2020;1;0;1;0
27/02/2020;1;0;0;0
28/02/2020;1;0;0;0
29/02/2020;2;0;1;0
01/03/2020;2;0;0;0
02/03/2020;2;0;0;0
03/03/2020;2;0;0;0
04/03/2020;3;0;1;0
05/03/2020;7;0;4;0
06/03/2020;13;0;6;0
07/03/2020;19;0;6;0
08/03/2020;25;0;6;0
09/03/2020;25;0;0;0
10/03/2020;34;0;9;0
11/03/2020;52;0;18;0
12/03/2020;77;0;25;0
13/03/2020;98;0;21;0
14/03/2020;121;0;23;0
15/03/2020;200;0;79;0
16/03/2020;234;0;34;0
17/03/2020;291;1;57;1
18/03/2020;428;4;137;3
19/03/2020;621;6;193;2
20/03/2020;904;11;283;5
21/03/2020;1128;18;224;7
22/03/2020;1546;25;418;7
23/03/2020;1891;34;345;9
24/03/2020;2201;46;310;12
25/03/2020;2433;57;232;11
26/03/2020;2915;77;482;20
27/03/2020;3417;92;502;15
28/03/2020;3903;114;486;22
29/03/2020;4256;136;353;22
30/03/2020;4579;159;323;23
31/03/2020;5717;201;1138;42
01/04/2020;6834;241;1117;40
02/04/2020;7910;299;1076;58
03/04/2020;9056;359;1146;60
04/04/2020;10278;432;1222;73
05/04/2020;11130;486;852;54
06/04/2020;12056;553;926;67
07/04/2020;13717;667;1661;114
08/04/2020;15927;800;2210;133
09/04/2020;17857;941;1930;141
10/04/2020;19638;1056;1781;115
11/04/2020;20727;1124;1089;68
12/04/2020;22169;1223;1442;99
13/04/2020;23430;1328;1261;105
14/04/2020;25262;1532;1832;204
15/04/2020;28320;1736;3058;204
16/04/2020;30425;1924;2105;188
17/04/2020;33682;2141;3257;217
18/04/2020;36599;2347;2917;206
19/04/2020;38654;2462;2055;115
20/04/2020;40581;2575;1927;113
21/04/2020;43079;2741;2498;166
22/04/2020;45757;2906;2678;165
23/04/2020;49492;3313;3735;407
24/04/2020;52995;3670;3503;357
25/04/2020;58509;4016;5514;346
26/04/2020;61888;4205;3379;189
27/04/2020;66501;4543;4613;338
28/04/2020;71886;5017;5385;474
29/04/2020;78162;5466;6276;449
30/04/2020;85380;5901;7218;435
01/05/2020;91299;6329;5919;428
02/05/2020;96396;6724;5097;395
03/05/2020;101147;7025;4751;301
04/05/2020;107780;7321;6633;296
05/05/2020;114715;7921;6935;600
06/05/2020;125218;8535;10503;614
07/05/2020;135106;9146;9888;611
08/05/2020;145328;9895;10222;749
09/05/2020;155939;10627;10611;732
10/05/2020;162699;11123;6760;496
11/05/2020;168331;11519;5632;396
12/05/2020;177589;12400;9258;881
13/05/2020;188974;13149;11385;749
14/05/2020;202918;13993;13944;844
15/05/2020;218223;14817;15305;824
16/05/2020;233142;15633;14919;816
17/05/2020;241080;16118;7938;485
18/05/2020;254220;16792;13140;674
19/05/2020;271628;17971;17408;1179
20/05/2020;291579;18859;19951;888
21/05/2020;310087;20047;18508;1188
22/05/2020;330890;21046;20803;999
23/05/2020;347398;22013;16508;967
24/05/2020;363211;22666;15813;653
25/05/2020;374898;23473;11687;807
26/05/2020;391222;24512;16324;1039
27/05/2020;411821;25598;20599;1086
28/05/2020;438238;26754;26417;1156
29/05/2020;465166;27878;26928;1124
30/05/2020;498440;28834;33274;956
31/05/2020;514200;29314;15760;480
01/06/2020;526447;29937;12247;623
02/06/2020;555383;31199;28936;1262
03/06/2020;584016;32548;28633;1349
04/06/2020;614941;34021;30925;1473
05/06/2020;645771;35026;30830;1005
06/06/2020;672846;35930;27075;904
07/06/2020;691758;36455;18912;525
08/06/2020;707412;37134;15654;679
09/06/2020;739503;38406;32091;1272
10/06/2020;772416;39680;32913;1274
11/06/2020;802828;40919;30412;1239
12/06/2020;828810;41828;25982;909
13/06/2020;850514;42720;21704;892
14/06/2020;867624;43332;17110;612
15/06/2020;888271;43959;20647;627
16/06/2020;923189;45241;34918;1282
17/06/2020;955377;46510;32188;1269
18/06/2020;978142;47748;22765;1238
19/06/2020;1032913;48954;54771;1206
20/06/2020;1067579;49976;34666;1022
21/06/2020;1085038;50617;17459;641
22/06/2020;1106470;51271;21432;654
23/06/2020;1145906;52645;39436;1374
24/06/2020;1188631;53830;42725;1185
25/06/2020;1228114;54971;39483;1141
26/06/2020;1274974;55961;46860;990
27/06/2020;1313667;57070;38693;1109
28/06/2020;1344143;57622;30476;552
29/06/2020;1368195;58314;24052;692
30/06/2020;1402041;59594;33846;1280
01/07/2020;1448753;60632;46712;1038
02/07/2020;1496858;61884;48105;1252
03/07/2020;1539081;63174;42223;1290
04/07/2020;1577004;64265;37923;1091
05/07/2020;1603055;64867;26051;602
06/07/2020;1623284;65487;20229;620
07/07/2020;1668589;66741;45305;1254
08/07/2020;1713160;67964;44571;1223
09/07/2020;1755779;69184;42619;1220
10/07/2020;1800827;70398;45048;1214
11/07/2020;1839850;71469;39023;1071
12/07/2020;1864681;72100;24831;631
13/07/2020;1884967;72833;20286;733
14/07/2020;1926824;74133;41857;1300
15/07/2020;1966748;75366;39924;1233
16/07/2020;2012151;76688;45403;1322
17/07/2020;2046328;77851;34177;1163
18/07/2020;2074860;78772;28532;921
19/07/2020;2098389;79488;23529;716
20/07/2020;2118646;80120;20257;632
21/07/2020;2159654;81487;41008;1367
22/07/2020;2227514;82771;67860;1284
23/07/2020;2287475;84082;59961;1311
24/07/2020;2343366;85238;55891;1156
25/07/2020;2394513;86449;51147;1211
26/07/2020;2419091;87004;24578;555
27/07/2020;2442375;87618;23284;614
28/07/2020;2483191;88539;40816;921
29/07/2020;2552265;90134;69074;1595
30/07/2020;2610102;91263;57837;1129
31/07/2020;2662485;92475;52383;1212
01/08/2020;2707877;93563;45392;1088
02/08/2020;2733677;94104;25800;541
03/08/2020;2750318;94665;16641;561
04/08/2020;2801921;95819;51603;1154
05/08/2020;2857597;97240;55676;1421
06/08/2020;2912212;98493;54615;1253
07/08/2020;2962442;99572;50230;1079
08/08/2020;3012412;100477;49970;905
09/08/2020;3035422;101049;23010;572
10/08/2020;3057470;101752;22048;703
11/08/2020;3109630;103026;52160;1274
12/08/2020;3164785;104201;55155;1175
13/08/2020;3224876;105463;60091;1262
14/08/2020;3275520;106523;50644;1060
15/08/2020;3317096;107232;41576;709
16/08/2020;3340197;107852;23101;620
17/08/2020;3359570;108536;19373;684
18/08/2020;3407354;109888;47784;1352
19/08/2020;3456652;111100;49298;1212
20/08/2020;3501975;112304;45323;1204
21/08/2020;3532330;113358;30355;1054
22/08/2020;3582362;114250;50032;892
23/08/2020;3605783;114744;23421;494
24/08/2020;3622861;115309;17078;565
25/08/2020;3669995;116580;47134;1271
26/08/2020;3717156;117665;47161;1085
27/08/2020;3761391;118649;44235;984
28/08/2020;3804803;119504;43412;855
29/08/2020;3846153;120462;41350;958
30/08/2020;3862311;120828;16158;366
31/08/2020;3908272;121381;45961;553
01/09/2020;3950931;122596;42659;1215
02/09/2020;3997865;123780;46934;1184
03/09/2020;4041638;124614;43773;834
04/09/2020;4092832;125521;51194;907
05/09/2020;4123000;126203;30168;682
06/09/2020;4137521;126650;14521;447
07/09/2020;4147794;126960;10273;310
08/09/2020;4162073;127464;14279;504
09/09/2020;4197889;128539;35816;1075
10/09/2020;4238446;129522;40557;983
11/09/2020;4282164;130396;43718;874
12/09/2020;4315687;131210;33523;814
13/09/2020;4330455;131625;14768;415
14/09/2020;4345610;132006;15155;381
15/09/2020;4382263;133119;36653;1113
16/09/2020;4419083;134106;36820;987
17/09/2020;4455386;134935;36303;829
18/09/2020;4495183;135793;39797;858
19/09/2020;4528240;136532;33057;739
20/09/2020;4544629;136895;16389;363
21/09/2020;4558068;137272;13439;377
22/09/2020;4591604;138108;33536;836
23/09/2020;4624885;138977;33281;869
24/09/2020;4657702;139808;32817;831
25/09/2020;4689613;140537;31911;729
26/09/2020;4717991;141406;28378;869
27/09/2020;4732309;141741;14318;335
28/09/2020;4745464;142058;13155;317
29/09/2020;4777522;142921;32058;863
30/09/2020;4810935;143952;33413;1031
01/10/2020;4847092;144680;36157;728
02/10/2020;4880523;145388;33431;708
03/10/2020;4906833;145987;26310;599
04/10/2020;4915289;146352;8456;365
05/10/2020;4927235;146675;11946;323
06/10/2020;4969141;147494;41906;819
07/10/2020;5000694;148228;31553;734
08/10/2020;5028444;148957;27750;729
09/10/2020;5055888;149639;27444;682
10/10/2020;5082637;150198;26749;559
11/10/2020;5094979;150488;12342;290
12/10/2020;5103408;150689;8429;201
13/10/2020;5113628;150998;10220;309
14/10/2020;5140863;151747;27235;749
15/10/2020;5169386;152460;28523;713
16/10/2020;5200300;153214;30914;754
17/10/2020;5224362;153675;24062;461
18/10/2020;5235344;153905;10982;230
19/10/2020;5250727;154176;15383;271
20/10/2020;5273954;154837;23227;661
21/10/2020;5298772;155403;24818;566
22/10/2020;5323630;155900;24858;497
23/10/2020;5353656;156471;30026;571
24/10/2020;5380635;156903;26979;432
25/10/2020;5394128;157134;13493;231
26/10/2020;5409854;157397;15726;263
27/10/2020;5439641;157946;29787;549
28/10/2020;5468270;158456;28629;510
29/10/2020;5494376;158969;26106;513
30/10/2020;5516658;159477;22282;508
31/10/2020;5535605;159884;18947;407
01/11/2020;5545705;160074;10100;190
02/11/2020;5554206;160253;8501;179
03/11/2020;5566049;160496;11843;243
04/11/2020;5590025;161106;23976;610
05/11/2020;5612319;161736;22294;630
06/11/2020;5633747;162038;21428;302
07/11/2020;5653561;162269;19814;231
08/11/2020;5664115;162397;10554;128
09/11/2020;5675032;162628;10917;231
10/11/2020;5700044;162829;25012;201
11/11/2020;5748375;163373;48331;544
12/11/2020;5781582;164281;33207;908
13/11/2020;5810652;164737;29070;456
14/11/2020;5848959;165658;38307;921
15/11/2020;5863093;165798;14134;140
16/11/2020;5876464;166014;13371;216
